GeneID,Symbol,Score,P-value
55816,DOK5,-0.965902658,4.24275E-06
10675,CSPG5,0.631965826,4.27379E-06
387496,RASL11A,-1.605820308,4.45E-06
440,ASNS,-0.715186368,4.52336E-06
6662,SOX9,0.869327294,4.72244E-06
23048,FNBP1,0.703044853,4.91763E-06
116448,OLIG1,1.096569718,5.14032E-06
84812,PLCD4,0.905306525,5.19048E-06
56937,PMEPA1,-0.879335434,5.27636E-06
1768,DNAH6,1.882701909,5.35107E-06
5098,PCDHGC3,0.720061365,5.5103E-06
23109,DDN,-0.772949566,5.7793E-06
54578,UGT1A6,1.120640887,5.84641E-06
2746,GLUD1,0.604410983,6.01517E-06
887,CCKBR,-1.065413751,6.12501E-06
7051,TGM1,-1.435066232,6.14546E-06
22986,SORCS3,-1.019721334,6.33535E-06
10654,PMVK,-0.826492817,6.55201E-06
4099,MAG,-2.83739247,7.31143E-06
7101,NR2E1,1.103023236,7.39351E-06
4853,NOTCH2,0.988562247,7.56537E-06
127731,VWA5B1,1.430513972,7.63268E-06
152404,IGSF11,0.850542424,7.64809E-06
10669,CGREF1,-0.876546506,7.78075E-06
226,ALDOA,-0.558126373,8.18911E-06
22905,EPN2,0.690787815,8.28154E-06
2915,GRM5,0.588391287,8.37464E-06
9607,CARTPT,-2.161014053,8.39252E-06
9124,PDLIM1,-1.862716589,8.51104E-06
3696,ITGB8,0.747380995,8.53415E-06
219654,ZCCHC24,0.751954549,8.71585E-06
6319,SCD,0.7433036,8.73351E-06
387763,C11ORF96,-0.838207541,8.82322E-06
116372,LYPD1,0.800260329,8.88474E-06
3754,KCNF1,-1.024717303,8.95369E-06
7130,TNFAIP6,-2.335020865,9.08276E-06
3309,HSPA5,-0.57478465,9.23431E-06
64651,CSRNP1,-1.629249274,9.37803E-06
84867,PTPN5,-0.635142614,9.98375E-06
316,AOX1,1.032771256,1.02034E-05
51306,FAM13B,0.938881997,1.06025E-05
124935,SLC43A2,0.748104983,1.10997E-05
51305,KCNK9,0.686423665,1.11527E-05
5662,PSD,-0.584358265,1.13324E-05
57678,GPAM,0.914923253,1.1552E-05
10247,RIDA,0.874438911,1.16268E-05
4651,MYO10,0.857807961,1.17885E-05
301,ANXA1,-1.320778315,1.26859E-05
94241,TP53INP1,0.663043574,1.40201E-05
1961,EGR4,-1.039329251,1.45779E-05
658,BMPR1B,1.290187067,1.54276E-05
64759,TNS3,0.700784202,1.56019E-05
115827,RAB3C,-0.537670342,1.58272E-05
2617,GARS1,-0.603024924,1.59903E-05
27071,DAPP1,1.588624335,1.68148E-05
80243,PREX2,1.125889467,1.71318E-05
4638,MYLK,-1.401744726,1.72084E-05
57480,PLEKHG1,0.958634927,1.74134E-05
23764,MAFF,-1.665248087,1.74529E-05
5806,PTX3,-1.519895321,1.76072E-05
7371,UCK2,-0.682323261,1.95435E-05
5608,MAP2K6,0.937583867,1.97676E-05
5870,RAB6A,-0.56408164,2.0076E-05
6529,SLC6A1,0.557222869,2.02007E-05
51186,TCEAL9,-1.156183384,2.02979E-05
64388,GREM2,-1.621263985,2.10017E-05
150094,SIK1,-1.114826906,2.10614E-05
730130,TMEM229A,0.844680271,2.15729E-05
3350,HTR1A,0.932711722,2.15968E-05
133,ADM,-1.30140428,2.18048E-05
5066,PAM,-0.68686644,2.1922E-05
91851,CHRDL1,1.13851079,2.20553E-05
10418,SPON1,0.746321023,2.23243E-05
9588,PRDX6,0.668773693,2.29394E-05
5178,PEG3,0.578540922,2.32763E-05
8404,SPARCL1,0.528614981,2.45113E-05
6301,SARS1,-0.57372227,2.51988E-05
2737,GLI3,1.243613024,2.64053E-05
51196,PLCE1,0.881094549,2.65274E-05
221074,SLC39A12,1.083409138,2.73793E-05
4616,GADD45B,-1.055049754,2.9005E-05
79751,SLC25A22,-0.625576194,2.9036E-05
5327,PLAT,-0.761547225,3.06814E-05
23328,SASH1,0.750477225,3.08646E-05
22865,SLITRK3,0.696533674,3.08857E-05
161253,REM2,-1.149000162,3.09963E-05
5830,PEX5,-0.728418343,3.1733E-05
1030,CDKN2B,-1.464963423,3.22217E-05
63933,MCUR1,0.991702318,3.30418E-05
6520,SLC3A2,-0.627044823,3.37352E-05
1978,EIF4EBP1,-1.361294509,3.46142E-05
5155,PDGFB,-0.860339884,3.89677E-05
1265,CNN2,-0.996975378,3.92168E-05
5453,POU3F1,-1.084592713,3.95064E-05
80128,TRIM46,0.696912041,4.09054E-05
10627,MYL12A,-0.903256313,4.09993E-05
84502,JPH4,0.574825927,4.11299E-05
9754,STARD8,1.21143158,4.22177E-05
2827,GPR3,-1.354995124,4.37316E-05
22822,PHLDA1,-0.795272693,4.50361E-05
375057,STUM,0.614040647,4.74891E-05
144535,CFAP54,1.053083799,4.78969E-05
117,ADCYAP1R1,0.629876766,4.88651E-05
4329,ALDH6A1,0.70852814,5.0734E-05
6386,SDCBP,-0.562370975,5.14813E-05
100127206,MINAR2,-1.678117486,5.16022E-05
51703,ACSL5,-0.996001938,5.51284E-05
23051,ZHX3,0.865502843,5.53287E-05
6303,SAT1,-0.765228177,5.54108E-05
2913,GRM3,0.837834378,5.62187E-05
6000,RGS7,-0.780564806,5.81958E-05
11122,PTPRT,0.708750197,6.18748E-05
11130,ZWINT,-0.561832285,6.28838E-05
57685,CACHD1,0.882426028,6.32646E-05
9415,FADS2,0.574266545,6.48236E-05
10749,KIF1C,0.627290215,6.50487E-05
4594,MMUT,0.701067644,6.69575E-05
5649,RELN,0.659680027,6.9164E-05
178,AGL,0.714708227,7.09336E-05
9590,AKAP12,-0.717781018,7.1111E-05
79689,STEAP4,0.93222487,7.11468E-05
11275,KLHL2,-0.56389498,7.12048E-05
57526,PCDH19,0.719350762,7.28228E-05
1620,BRINP1,-0.586525895,7.33687E-05
800,CALD1,-0.654633107,7.38003E-05
9956,HS3ST2,-1.332422657,7.59198E-05
10840,ALDH1L1,0.574190109,7.63104E-05
8614,STC2,-1.650271981,7.63992E-05
4017,LOXL2,-0.819573327,7.70585E-05
3082,HGF,1.176231526,7.72019E-05
7225,TRPC6,-1.646410038,7.7461E-05
57655,GRAMD1A,-0.87876257,7.80466E-05
5255,PHKA1,1.001816636,7.83557E-05
55824,PAG1,0.824029325,7.95296E-05
255426,RASGEF1C,-1.075747024,8.06386E-05
57624,NYAP2,0.711132864,8.23151E-05
115265,DDIT4L,0.804276397,8.37255E-05
6627,SNRPA1,-0.916302259,8.48965E-05
4923,NTSR1,0.796351519,8.52197E-05
389075,RESP18,-1.70399492,8.74907E-05
4693,NDP,1.289916569,8.93267E-05
54857,GDPD2,1.12799093,8.94819E-05
3371,TNC,-1.030494137,9.181E-05
57016,AKR1B10,-1.95773618,9.60892E-05
1393,CRHBP,-0.906617269,9.81216E-05
7167,TPI1,-0.519154511,0.000100153
2098,ESD,-0.870890899,0.000101575
306,ANXA3,-0.926608285,0.00010256
134429,STARD4,-0.692169511,0.000103552
10159,ATP6AP2,-0.579381433,0.000103712
768,CA9,-1.779689537,0.000106689
