GeneID,Symbol,Score,P-value
1265,CNN2,-0.753966777,3.92168E-05
5453,POU3F1,0.031985927,3.95064E-05
80128,TRIM46,-0.026557388,4.09054E-05
10627,MYL12A,-0.195953427,4.09993E-05
84502,JPH4,0.085821446,4.11299E-05
9754,STARD8,-0.187199818,4.22177E-05
2827,GPR3,-0.512934929,4.37316E-05
22822,PHLDA1,-0.219072629,4.50361E-05
375057,STUM,0.030190828,4.74891E-05
144535,CFAP54,0.169342753,4.78969E-05
117,ADCYAP1R1,-0.01265079,4.88651E-05
4329,ALDH6A1,0.219046519,5.0734E-05
6386,SDCBP,-0.084952676,5.14813E-05
100127206,MINAR2,-1.352626926,5.16022E-05
51703,ACSL5,-0.386412814,5.51284E-05
23051,ZHX3,0.104378639,5.53287E-05
6303,SAT1,-0.209471521,5.54108E-05
2913,GRM3,-0.532726509,5.62187E-05
6000,RGS7,0.032245337,5.81958E-05
11122,PTPRT,0.088970417,6.18748E-05
11130,ZWINT,0.071849118,6.28838E-05
57685,CACHD1,0.215480461,6.32646E-05
9415,FADS2,0.0573554,6.48236E-05
10749,KIF1C,-0.167918999,6.50487E-05
4594,MMUT,0.072089023,6.69575E-05
5649,RELN,-0.203504475,6.9164E-05
178,AGL,-0.099852773,7.09336E-05
9590,AKAP12,-0.503418323,7.1111E-05
79689,STEAP4,-0.944804108,7.11468E-05
11275,KLHL2,-0.154243347,7.12048E-05
57526,PCDH19,0.265268479,7.28228E-05
1620,BRINP1,0.013325083,7.33687E-05
800,CALD1,-0.477686567,7.38003E-05
9956,HS3ST2,-0.332879309,7.59198E-05
10840,ALDH1L1,-0.155416538,7.63104E-05
8614,STC2,-0.535175386,7.63992E-05
4017,LOXL2,-0.50467204,7.70585E-05
3082,HGF,-0.506665048,7.72019E-05
7225,TRPC6,-1.247121855,7.7461E-05
57655,GRAMD1A,-0.102078553,7.80466E-05
5255,PHKA1,0.254294519,7.83557E-05
55824,PAG1,-0.02599569,7.95296E-05
255426,RASGEF1C,-0.207576482,8.06386E-05
57624,NYAP2,-0.236394449,8.23151E-05
115265,DDIT4L,0.185170333,8.37255E-05
6627,SNRPA1,-0.078008761,8.48965E-05
4923,NTSR1,-0.002214764,8.52197E-05
389075,RESP18,-0.01201091,8.74907E-05
4693,NDP,-0.284557926,8.93267E-05
54857,GDPD2,0.137330767,8.94819E-05
3371,TNC,-0.144042563,9.181E-05
57016,AKR1B10,-0.610330596,9.60892E-05
1393,CRHBP,-0.694309868,9.81216E-05
7167,TPI1,-0.186983956,0.000100153
2098,ESD,-0.009921543,0.000101575
306,ANXA3,-0.555937526,0.00010256
134429,STARD4,0.229424536,0.000103552
10159,ATP6AP2,0.013388705,0.000103712
768,CA9,-0.293231609,0.000106689
4922,NTS,-0.927840003,0.000110431
55163,PNPO,-0.205193256,0.000111235
5295,PIK3R1,-0.02726646,0.000111268
2824,GPM6B,0.009216123,0.000111961
664,BNIP3,-0.519400334,0.000112135
345079,SOWAHB,-1.310292,0.000112854
51144,HSD17B12,-0.051379434,0.000115901
55859,BEX1,0.110963257,0.000119485
217,ALDH2,0.124691036,0.000121738
8538,BARX2,-0.346661193,0.00012188
259217,HSPA12A,0.093311068,0.000124469
1739,DLG1,0.040947449,0.000125924
26137,ZBTB20,0.209692089,0.000128742
143903,LAYN,0.231114294,0.000129614
143279,HECTD2,-0.119432804,0.000130167
57172,CAMK1G,0.046728236,0.00013107
2820,GPD2,-0.015254655,0.000133426
58190,CTDSP1,0.366329242,0.000134152
10724,OGA,0.140983195,0.000135509
140456,ASB11,-0.359186818,0.000136861
63976,PRDM16,0.20171832,0.000137668
60370,AVPI1,-0.006443662,0.000140539
1641,DCX,-0.084485556,0.000141087
27145,FILIP1,-0.108816894,0.000142423
10076,PTPRU,-0.010407293,0.000146741
8528,DDO,0.298802849,0.000147198
9734,HDAC9,-0.135030359,0.000150469
375612,LHFPL3,-0.160645711,0.000152162
491,ATP2B2,-0.065042881,0.000161686
5176,SERPINF1,0.275393188,0.000163775
3761,KCNJ4,-0.223246818,0.000165161
55084,SOBP,-0.040608047,0.000165386
8664,EIF3D,0.151124191,0.000165624
7227,TRPS1,0.090925442,0.000167521
51514,DTL,-0.94818183,0.000171722
54544,CRCT1,-2.980838955,0.000171807
51706,CYB5R1,-0.013417599,0.000173113
9592,IER2,-0.051807643,0.000173181
7092,TLL1,0.01192895,0.000179463
25822,DNAJB5,0.104718836,0.000180141
6565,SLC15A2,0.272337001,0.000180338
5230,PGK1,-0.261064635,0.000181289
23544,SEZ6L,0.045129208,0.000182791
5865,RAB3B,-0.00088506,0.000185793
10092,ARPC5,0.061273443,0.000187496
164091,PAQR7,0.08838101,0.000188115
6752,SSTR2,0.137549754,0.000189064
796,CALCA,-0.676566953,0.000191153
80129,CCDC170,0.705376617,0.000193077
5625,PRODH,0.397541126,0.000194234
84668,HYCC1,0.109338344,0.000194679
84870,RSPO3,-0.142950248,0.00020495
2,A2M,0.065521468,0.000205105
5816,PVALB,-0.590851453,0.00020606
55707,NECAP2,0.058090596,0.000206243
7182,NR2C2,0.146377798,0.000214089
167410,LIX1,0.063117133,0.000214865
11283,CYP4F8,0.212293401,0.000215008
84707,BEX2,0.163416305,0.000218878
857,CAV1,-0.531750436,0.000221193
23640,HSPBP1,0.030404122,0.000223203
