GeneID,Symbol,Score,P-value
127731,VWA5B1,-0.174749437,7.63268E-06
152404,IGSF11,-0.173607032,7.64809E-06
10669,CGREF1,0.152620162,7.78075E-06
226,ALDOA,0.060736533,8.18911E-06
22905,EPN2,-0.113251583,8.28154E-06
2915,GRM5,-0.051156811,8.37464E-06
9607,CARTPT,0.277842415,8.39252E-06
9124,PDLIM1,0.977403074,8.51104E-06
3696,ITGB8,0.153396589,8.53415E-06
219654,ZCCHC24,0.005128285,8.71585E-06
6319,SCD,-0.167175383,8.73351E-06
387763,C11ORF96,0.312581872,8.82322E-06
116372,LYPD1,-0.33239393,8.88474E-06
3754,KCNF1,0.458805323,8.95369E-06
7130,TNFAIP6,1.439773328,9.08276E-06
3309,HSPA5,0.233258819,9.23431E-06
64651,CSRNP1,0.870413994,9.37803E-06
84867,PTPN5,0.093239429,9.98375E-06
316,AOX1,-0.104541414,1.02034E-05
51306,FAM13B,-0.13608339,1.06025E-05
124935,SLC43A2,-0.076673009,1.10997E-05
51305,KCNK9,-0.099426036,1.11527E-05
5662,PSD,-0.133803108,1.13324E-05
57678,GPAM,-0.306107768,1.1552E-05
10247,RIDA,-0.041854977,1.16268E-05
4651,MYO10,0.054577804,1.17885E-05
301,ANXA1,0.274420394,1.26859E-05
94241,TP53INP1,0.104824675,1.40201E-05
1961,EGR4,0.379716608,1.45779E-05
658,BMPR1B,0.043152669,1.54276E-05
64759,TNS3,0.064699704,1.56019E-05
115827,RAB3C,0.237419918,1.58272E-05
2617,GARS1,0.12292156,1.59903E-05
27071,DAPP1,-0.00527495,1.68148E-05
80243,PREX2,0.212541733,1.71318E-05
4638,MYLK,0.37036865,1.72084E-05
57480,PLEKHG1,-0.092767544,1.74134E-05
23764,MAFF,0.463492771,1.74529E-05
5806,PTX3,0.509056643,1.76072E-05
7371,UCK2,0.081103179,1.95435E-05
5608,MAP2K6,-0.071375571,1.97676E-05
5870,RAB6A,0.152395443,2.0076E-05
6529,SLC6A1,-0.189321086,2.02007E-05
51186,TCEAL9,0.166311538,2.02979E-05
64388,GREM2,0.926459482,2.10017E-05
150094,SIK1,0.424088951,2.10614E-05
730130,TMEM229A,-0.1185612,2.15729E-05
3350,HTR1A,-0.409906034,2.15968E-05
133,ADM,0.552429578,2.18048E-05
5066,PAM,0.213606744,2.1922E-05
91851,CHRDL1,-0.45678541,2.20553E-05
10418,SPON1,-0.140624901,2.23243E-05
9588,PRDX6,-0.015846978,2.29394E-05
5178,PEG3,-0.002577855,2.32763E-05
8404,SPARCL1,-0.060448945,2.45113E-05
6301,SARS1,0.170102703,2.51988E-05
2737,GLI3,-0.04147146,2.64053E-05
51196,PLCE1,0.084082214,2.65274E-05
221074,SLC39A12,-0.026966049,2.73793E-05
4616,GADD45B,0.51394243,2.9005E-05
79751,SLC25A22,-0.025813109,2.9036E-05
5327,PLAT,0.265358209,3.06814E-05
23328,SASH1,0.102032408,3.08646E-05
22865,SLITRK3,-0.126848872,3.08857E-05
161253,REM2,0.466497425,3.09963E-05
5830,PEX5,0.182466555,3.1733E-05
1030,CDKN2B,0.104556533,3.22217E-05
63933,MCUR1,-0.146733319,3.30418E-05
6520,SLC3A2,0.287980971,3.37352E-05
1978,EIF4EBP1,0.683787106,3.46142E-05
5155,PDGFB,0.228013932,3.89677E-05
1265,CNN2,0.08517655,3.92168E-05
5453,POU3F1,0.268724104,3.95064E-05
80128,TRIM46,-0.13175463,4.09054E-05
10627,MYL12A,0.111237038,4.09993E-05
84502,JPH4,-0.133930672,4.11299E-05
9754,STARD8,-0.298069895,4.22177E-05
2827,GPR3,0.632669541,4.37316E-05
22822,PHLDA1,0.116046048,4.50361E-05
375057,STUM,-0.126571603,4.74891E-05
144535,CFAP54,0.174945022,4.78969E-05
117,ADCYAP1R1,-0.13914327,4.88651E-05
4329,ALDH6A1,0.031929208,5.0734E-05
6386,SDCBP,0.115933336,5.14813E-05
100127206,MINAR2,0.338126809,5.16022E-05
51703,ACSL5,0.341729386,5.51284E-05
23051,ZHX3,0.059568806,5.53287E-05
6303,SAT1,0.250587023,5.54108E-05
2913,GRM3,-0.295308761,5.62187E-05
6000,RGS7,0.214771146,5.81958E-05
11122,PTPRT,0.051455237,6.18748E-05
11130,ZWINT,0.025088786,6.28838E-05
57685,CACHD1,0.080731949,6.32646E-05
9415,FADS2,-0.147870849,6.48236E-05
10749,KIF1C,0.010474114,6.50487E-05
4594,MMUT,-0.004519248,6.69575E-05
5649,RELN,-0.032400155,6.9164E-05
178,AGL,-0.062098116,7.09336E-05
9590,AKAP12,0.39481914,7.1111E-05
79689,STEAP4,-0.031199358,7.11468E-05
11275,KLHL2,0.071843921,7.12048E-05
57526,PCDH19,-0.030035598,7.28228E-05
1620,BRINP1,0.17745435,7.33687E-05
800,CALD1,0.1171178,7.38003E-05
9956,HS3ST2,0.437903375,7.59198E-05
10840,ALDH1L1,-0.094143792,7.63104E-05
8614,STC2,0.909681335,7.63992E-05
4017,LOXL2,0.167678054,7.70585E-05
3082,HGF,0.063448389,7.72019E-05
7225,TRPC6,0.431386054,7.7461E-05
57655,GRAMD1A,0.156986586,7.80466E-05
5255,PHKA1,0.106747428,7.83557E-05
55824,PAG1,-0.073931348,7.95296E-05
255426,RASGEF1C,-0.138895928,8.06386E-05
57624,NYAP2,0.015097377,8.23151E-05
115265,DDIT4L,0.072176113,8.37255E-05
6627,SNRPA1,0.176102253,8.48965E-05
4923,NTSR1,-0.192066552,8.52197E-05
389075,RESP18,0.667511921,8.74907E-05
4693,NDP,-0.249591005,8.93267E-05
54857,GDPD2,0.031780263,8.94819E-05
3371,TNC,0.500256778,9.181E-05
57016,AKR1B10,0.645843387,9.60892E-05
1393,CRHBP,0.471847244,9.81216E-05
7167,TPI1,0.00440397,0.000100153
2098,ESD,0.075959171,0.000101575
306,ANXA3,0.228818008,0.00010256
134429,STARD4,0.203164605,0.000103552
10159,ATP6AP2,0.075882299,0.000103712
768,CA9,0.786796445,0.000106689
4922,NTS,0.886664395,0.000110431
55163,PNPO,0.075033744,0.000111235
5295,PIK3R1,0.003998939,0.000111268
2824,GPM6B,-0.006673791,0.000111961
664,BNIP3,0.101878186,0.000112135
345079,SOWAHB,1.128053162,0.000112854
51144,HSD17B12,0.1497031,0.000115901
55859,BEX1,0.034567858,0.000119485
217,ALDH2,-0.034347741,0.000121738
8538,BARX2,0.087746022,0.00012188
259217,HSPA12A,-0.122338496,0.000124469
1739,DLG1,0.310758542,0.000125924
26137,ZBTB20,0.302137097,0.000128742
143903,LAYN,0.578928477,0.000129614
143279,HECTD2,0.361308054,0.000130167
57172,CAMK1G,0.208228084,0.00013107
2820,GPD2,-0.031438738,0.000133426
58190,CTDSP1,-0.065762692,0.000134152
10724,OGA,-0.031793727,0.000135509
140456,ASB11,0.893032809,0.000136861
63976,PRDM16,-0.038620577,0.000137668
60370,AVPI1,0.09865872,0.000140539
1641,DCX,-0.021417913,0.000141087
27145,FILIP1,-0.356167938,0.000142423
10076,PTPRU,-0.076598509,0.000146741
8528,DDO,0.007750656,0.000147198
9734,HDAC9,0.26406235,0.000150469
375612,LHFPL3,0.360531462,0.000152162
491,ATP2B2,-0.145697466,0.000161686
5176,SERPINF1,0.504630866,0.000163775
3761,KCNJ4,0.049287255,0.000165161
55084,SOBP,-0.162172835,0.000165386
8664,EIF3D,0.136468668,0.000165624
7227,TRPS1,0.132829707,0.000167521
51514,DTL,0.469035927,0.000171722
54544,CRCT1,-0.611793958,0.000171807
51706,CYB5R1,0.448628331,0.000173113
9592,IER2,0.3168216,0.000173181
7092,TLL1,0.613321908,0.000179463
25822,DNAJB5,0.185918701,0.000180141
6565,SLC15A2,0.015686715,0.000180338
5230,PGK1,0.208030503,0.000181289
23544,SEZ6L,-0.110944353,0.000182791
5865,RAB3B,-0.072784009,0.000185793
10092,ARPC5,0.059454895,0.000187496
164091,PAQR7,-0.323828497,0.000188115
6752,SSTR2,0.60200394,0.000189064
796,CALCA,-0.132827461,0.000191153
80129,CCDC170,0.010530124,0.000193077
5625,PRODH,-0.054805732,0.000194234
84668,HYCC1,-0.058198756,0.000194679
84870,RSPO3,-0.145492506,0.00020495
2,A2M,-0.007239441,0.000205105
5816,PVALB,0.203122203,0.00020606
55707,NECAP2,-0.001250561,0.000206243
7182,NR2C2,0.052388487,0.000214089
167410,LIX1,-0.075265886,0.000214865
11283,CYP4F8,-0.243654418,0.000215008
84707,BEX2,0.006871207,0.000218878
857,CAV1,0.0862617,0.000221193
23640,HSPBP1,-0.001969162,0.000223203
1647,GADD45A,0.4356173,0.000223347
58494,JAM2,-0.216236927,0.000223968
6657,SOX2,-0.01076392,0.000227679
79589,RNF128,0.144551325,0.000228111
50808,AK3,-0.013826042,0.000228878
8204,NRIP1,0.014645023,0.000230287
482,ATP1B2,0.019351618,0.000232875
833,CARS1,0.187417793,0.000235741
8565,YARS1,0.234897893,0.000237732
79633,FAT4,0.147800626,0.000237946
339512,CCDC190,-0.166876384,0.000245412
25758,KIAA1549L,-0.045178566,0.00025387
2904,GRIN2B,0.145078292,0.000254159
6820,SULT2B1,0.428559015,0.000256254
6567,SLC16A2,-0.059633723,0.000257452
29997,NOP53,0.133612138,0.000257807
3692,EIF6,-0.043986475,0.000257854
1263,PLK3,0.553876573,0.000261918
64067,NPAS3,-0.002849055,0.000263265
8988,HSPB3,2.723387454,0.000279876
7163,TPD52,0.169841602,0.0002852
91373,UAP1L1,0.101523504,0.000285275
81572,PDRG1,0.011617534,0.000290366
64849,SLC13A3,-0.24428126,0.000293341
389941,C1QL3,0.366792251,0.000294034
57162,PELI1,0.225714635,0.000295035
79901,CYBRD1,-0.026703548,0.000306978
92,ACVR2A,-0.129973632,0.00031302
1725,DHPS,0.06153518,0.000316505
5454,POU3F2,-0.111983036,0.000317814
5798,PTPRN,0.189804148,0.000320683
65983,GRAMD2B,-0.223112611,0.0003287
24139,EML2,0.093207529,0.000329656
130399,ACVR1C,0.471571118,0.000332114
26873,OPLAH,0.052009793,0.000347813
23336,SYNM,-0.155917506,0.00035136
114,ADCY8,0.239535173,0.000354125
4803,NGF,0.568738766,0.000358305
23112,TNRC6B,0.089847719,0.000363051
18,ABAT,-0.088338391,0.000365039
139189,DGKK,0.681011071,0.000370606
6515,SLC2A3,0.326879382,0.000380698
10215,OLIG2,-0.087015805,0.000380793
8871,SYNJ2,0.417697917,0.000383142
57633,LRRN1,-0.192513377,0.000388763
492,ATP2B3,-0.147482792,0.000392954
26136,TES,0.58538876,0.000401061
23231,SEL1L3,0.323849464,0.000409837
23266,ADGRL2,-0.042800187,0.000409871
9283,GPR37L1,-0.036083577,0.000411324
26052,DNM3,-0.002217223,0.000412145
8659,ALDH4A1,-0.034722963,0.000412656
57469,PNMA8B,-0.060337403,0.000417903
10865,ARID5A,0.26070606,0.000418952
9369,NRXN3,0.147010648,0.000437838
2053,EPHX2,-0.326658913,0.000440229
11177,BAZ1A,0.646840079,0.00044445
51400,PPME1,0.074019332,0.000450498
388610,TRNP1,-0.072390383,0.000451636
29767,TMOD2,0.027661516,0.000460545
9414,TJP2,0.029558404,0.000463509
23504,RIMBP2,-0.215710484,0.000464647
3688,ITGB1,0.21390937,0.000473823
1476,CSTB,0.238786741,0.000475605
8577,TMEFF1,0.15320313,0.000476255
84889,SLC7A3,1.157157994,0.000476946
1955,MEGF9,0.032501692,0.000479097
8801,SUCLG2,-0.017130719,0.000484716
5108,PCM1,0.014690588,0.000486479
254778,VXN,0.006401287,0.000486853
1000,CDH2,-0.027824565,0.000487904
130612,TMEM198,0.154276228,0.000489699
